reaction_id,reaction_name,full_reaction,Oleic Acid MFA-Constrained GSM flux,Oleic Acid MFA-Constrained GSM LB,Oleic Acid MFA-Constrained GSM UB
13BGH,Endo 1 3 beta glucan glucohydrase,13BDglcn[c] + h2o[c] --> glc_D[c],0.0,0.0,263.67856710462996
13BGHe,Exo 1 3 beta glucan glucohydrase,13BDglcn[e] + h2o[e] --> glc_D[e],0.0,0.0,-0.0
ASADi,aspartate semialdehyde dehydrogenase irreversible,4pasp[c] + h[c] + nadph[c] --> aspsa[c] + nadp[c] + pi[c],13.78560745136,6.25061599212,153.99561387463
2DDA7Ptm,2 Dehydro 3 deoxy D arabino heptonate7 phohsphate mitochondrial transport via diffusion,2dda7p[c] <=> 2dda7p[m],0.0,-24.7433,-0.0
2DHPtm,2 Dehydropantoate mitochondrial transport,2dhp[c] <=> 2dhp[m],0.0,0.0,13.44135913233
2OHPH_5tn,2 Octaprenyl 6 hydroxyphenol nuclear transport,2ohph_5[c] <=> 2ohph_5[n],0.0,0.0,-0.0
2OMPH_5tm,2 Octaprenyl 6 methoxyprenol mitochondrial transport,2omph_5[c] <=> 2omph_5[m],0.0,0.0,-0.0
2OMPH_5tn,2 Octaprenyl 6 methoxyprenol nuclear transport,2omph_5[c] <=> 2omph_5[n],0.0,0.0,-0.0
ASPKi,aspartate kinase irreversible,asp_L[c] + atp[c] --> 4pasp[c] + adp[c],13.78560745136,6.25061599212,153.99561387536
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,34hpp[c] + o2[c] --> co2[c] + hgentis[c],0.0,0.0,22.4625878654
34HPPt2m,3 4 hydroxyphenyl pyruvate mitochondrial transport via proton symport,34hpp[c] + h[c] <=> 34hpp[m] + h[m],9949.08780060741,0.0,9999.999999999989
34HPPt2p,3 4 hydroxyphenyl pyruvate peroxisomal transport via proton symport,34hpp[c] + h[c] <=> 34hpp[x] + h[x],0.0,0.0,-0.0
13GS,1 3 beta glucan synthase,udpg[c] --> 13BDglcn[c] + h[c] + udp[c],22.73393960798,21.68746436229,285.36603147084
3C4MOPtm,3 Carboxy 4 methyl 2 oxopentanoate transport diffusion mitochondrial,3c4mop[c] <=> 3c4mop[m],0.0,0.0,-0.0
3DSPHR,3 Dehydrosphinganine reductase,3dsphgn[c] + h[c] + nadph[c] --> nadp[c] + sphgn[c],0.0,0.0,4.157884441829999
3HAO,3 hydroxyanthranilate 3 4 dioxygenase,3hanthrn[c] + o2[c] --> cmusa[c] + h[c],0.0,0.0,-0.0
GLCS2,glycogen synthase UDPGlc ,udpg[c] --> glycogen[c] + h[c] + udp[c],0.0,0.0,527.35713421424
SBTD_D2,D sorbitol dehydrogenase D fructose producing ,nad[c] + sbt_D[c] --> fru[c] + h[c] + nadh[c],0.0,0.0,-0.0
3OPHB_5tm,3 Octaprenyl 4 hydroxybenzoate mitochondrial transport,3ophb_5[c] <=> 3ophb_5[m],0.0,0.0,-0.0
4ABUTNtm,4 aminobutanal mitochondrial transport via diffusion,4abutn[c] <=> 4abutn[m],0.0,0.0,-0.0
4ABUTtm,4 aminobutanoate mitochondrial transport via diffusion,4abut[c] <=> 4abut[m],0.0,0.0,-0.0
4ABZtm,4 Aminobenzoate mitochondrial transport via diffusion,4abz[c] <=> 4abz[m],0.0,0.0,-0.0
4H2OGLTtm,4 hydroxy 2 oxoglutarate mitochondrial transport via diffusion,4h2oglt[c] <=> 4h2oglt[m],0.0,0.0,-0.0
4H2OGLTtp,4 hydroxy 2 oxoglutarate peroxisomal transport via diffusion,4h2oglt[c] <=> 4h2oglt[x],0.0,0.0,-0.0
4HBZtm,4 Hydroxybenzoate mitochondrial transport,4hbz[c] <=> 4hbz[m],0.0,0.0,-0.0
4HPRO_LTtm,trans 4 hydroxy L proline mitochondrial transport via diffusion,4hpro_LT[c] <=> 4hpro_LT[m],0.0,0.0,-0.0
4HTHRS,4 Hydroxy L threonine synthase,h2o[c] + phthr[c] --> 4hthr[c] + pi[c],0.0,0.0,-0.0
5AOPt2,5 Aminolevulinate transport in via proton symport,5aop[e] + h[e] --> 5aop[c] + h[c],0.0,0.0,-0.0
5AOPtm,5 Aminolevulinate mitochondrial transport,5aop[c] <=> 5aop[m],0.0,0.0,-0.0
5MTHFtm,5 Methyltetrahydrofolate mitochondrial transport via diffusion,5mthf[c] <=> 5mthf[m],0.0,0.0,-0.0
6PGLter,6 phospho D glucono 1 5 lactone endoplasmic reticular transport via diffusion,6pgl[c] <=> 6pgl[r],-5.24187396575,-10.01734564717,-5.0005831274400006
8AONNt2,8 Amino 7 oxononanoate reversible transport via proton symport,8aonn[e] + h[e] <=> 8aonn[c] + h[c],0.0,0.0,-0.0
AABTN,4 acetamidobutyrate deacetylase,4aabutn[c] + h2o[c] --> 4abut[c] + ac[c],0.0,0.0,-0.0
AASAD1,L aminoadipate semialdehyde dehydrogenase NADPH ,L2aadp[c] + atp[c] + h[c] + nadph[c] --> L2aadp6sa[c] + amp[c] + nadp[c] + ppi[c],0.0,0.0,21.85979988991
TRE6PP,trehalose phosphatase,h2o[c] + tre6p[c] --> pi[c] + tre[c],0.16530938991,0.15769996596000002,175.94341137071
ABTA,4 aminobutyrate transaminase,4abut[c] + akg[c] --> glu_L[c] + sucsal[c],0.0,0.0,87.10790668953999
ABTt,L arabinitol transport via passive diffusion,abt[e] <=> abt[c],0.0,0.0,-0.0
ABUTDm,Aminobutyraldehyde dehydrogenase mitochondrial,4abutn[m] + h2o[m] + nad[m] --> 4abut[m] + 2.0 h[m] + nadh[m],0.0,0.0,-0.0
ABUTt2,4 aminobutyrate transport in via proton symport,4abut[e] + h[e] --> 4abut[c] + h[c],0.0,0.0,-0.0
TRE6PS,alpha alpha trehalose phosphate synthase UDP forming ,g6p[c] + udpg[c] --> h[c] + tre6p[c] + udp[c],0.16530938991,0.15769996596000002,175.94341137125
ACACT1m,acetyl CoA C acetyltransferase mitochondrial,2.0 accoa[m] <=> aacoa[m] + coa[m],0.0,0.0,-0.0
ACACT4p,acetyl CoA C acetyltransferase octanoyl CoA peroxisomal,3odcoa[x] + coa[x] --> accoa[x] + occoa[x],0.0,0.0,26.977367226650003
ACACT5p,acetyl CoA C acyltransferase decanoyl CoA peroxisomal,3oddcoa[x] + coa[x] --> accoa[x] + dcacoa[x],0.0,0.0,26.977367226650003
ACACT6p,acetyl CoA C acetyltransferase dodecanoyl peroxisomal,3otdcoa[x] + coa[x] --> accoa[x] + ddcacoa[x],0.0,0.0,26.977367226650003
ACACT7p,acetyl CoA acyltransferase tetradecanoyl CoA peroxisomal,3ohdcoa[x] + coa[x] --> accoa[x] + tdcoa[x],0.0,0.0,23.373103589080003
ACACT8p,acetyl CoA acyltransferase hexadecanoyl CoA peroxisomal,3ohodcoa[x] + coa[x] --> accoa[x] + pmtcoa[x],0.0,0.0,20.61841638037
ACACT9p,acetyl CoA acyltransferase tetracosanoyl CoA peroxisomal,3ohxccoa[x] + coa[x] --> accoa[x] + ttccoa[x],0.0,0.0,-0.0
PC,pyruvate carboxylase,atp[c] + hco3[c] + pyr[c] --> adp[c] + h[c] + oaa[c] + pi[c],0.0,0.0,703.1428456211501
ACGAM6PS,N acetylglucosamine 6 phosphate synthase,accoa[c] + gam6p[c] <=> acgam6p[c] + coa[c] + h[c],20.92566502813,19.962427207090002,20.92566502813
ACGAMPM,phosphoacetylglucosamine mutase,acgam6p[c] <=> acgam1p[c],20.92566502813,19.962427207090002,20.92566502813
ACGKm,acetylglutamate kinase mitochondrial,acglu[m] + atp[m] --> acg5p[m] + adp[m],6.297860378609999,2.27266783158,366.83024765150003
ACGSm,N acteylglutamate synthase mitochondrial,accoa[m] + glu_L[m] --> acglu[m] + coa[m] + h[m],0.0,0.0,-0.0
ACOTAim,acteylornithine transaminase irreversible mitochondrial,acg5sa[m] + glu_L[m] --> acorn[m] + akg[m],6.297860378609999,2.27266783158,366.83024765149
AGPRim,N acetyl g glutamyl phosphate reductase irreversible mitochondrial,acg5p[m] + h[m] + nadph[m] --> acg5sa[m] + nadp[m] + pi[m],6.297860378609999,2.27266783158,366.83024765150003
ACOAH,acetyl CoA hydrolase,accoa[c] + h2o[c] --> ac[c] + coa[c] + h[c],0.0,0.0,-0.0
ACOAO4p,acyl CoA oxidase decanoyl CoA peroxisomal,dcacoa[x] + o2[x] --> dc2coa[x] + h2o2[x],0.0,0.0,26.977367226680002
ACOAO5p,acyl CoA oxidase dodecanoyl CoA peroxisomal,ddcacoa[x] + o2[x] --> dd2coa[x] + h2o2[x],0.0,0.0,26.977367226680002
ACOAO6p,acyl CpA oxidase tetradecanoyl CoA peroxisomal,o2[x] + tdcoa[x] --> h2o2[x] + td2coa[x],0.0,0.0,26.977367226680002
ACOAO7p,acyl CoA oxidase hexadecanoyl CoA peroxisomal,o2[x] + pmtcoa[x] --> h2o2[x] + hdd2coa[x],0.0,0.0,23.373103589110002
ACOAO8p,acyl CoA oxidase octadecanoyl CoA peroxisomal,o2[x] + stcoa[x] --> h2o2[x] + od2coa[x],0.0,0.0,20.618416380390002
ACOAO9p,acyl CoA oxidase hexacanoyl CoA peroxisomal,hexccoa[x] + o2[x] --> h2o2[x] + hxc2coa[x],0.0,0.0,-0.0
ACOATA,Acetyl CoA ACP transacylase,ACP[c] + accoa[c] <=> acACP[c] + coa[c],0.0,0.0,-0.0
ACOATAm,Acetyl CoA ACP transacylase,ACP[m] + accoa[m] <=> acACP[m] + coa[m],0.0,0.0,-0.0
ACONT,aconitase,cit[c] <=> icit[c],405.35162787224004,348.08504964546,453.51211319319
ACONTm,Aconitate hydratase,cit[m] <=> icit[m],18.9638,18.9638,75.2743
ARGSL,argininosuccinate lyase,argsuc[c] <=> arg_L[c] + fum[c],2.38232982746,2.27266783158,107.74409467343
ACP1e,acid phosphatase extracellular secreted ,fmn[e] + h2o[e] --> pi[e] + ribflv[e],0.0,0.0,-0.0
ACRNtm,O acetylcarnintine transport into mitochondria via diffusion,acrn[c] --> acrn[m],0.0,0.0,10000.0
ACRNtp,acetylcarnitine transport out of peroxisome,acrn[x] --> acrn[c],0.0,0.0,918.82418183236
ARGSSr,argininosuccinate synthase reversible,asp_L[c] + atp[c] + citr_L[c] <=> amp[c] + argsuc[c] + h[c] + ppi[c],2.38232982746,2.27266783158,107.74409467499
ACSm,acetyl CoA synthetase,ac[m] + atp[m] + coa[m] --> accoa[m] + amp[m] + ppi[m],0.0,0.0,182.98413674833998
ACSp,acetyl CoA synthetase,ac[x] + atp[x] + coa[x] --> accoa[x] + amp[x] + ppi[x],0.0,0.0,-0.0
ACt2r,acetate reversible transport via proton symport,ac[e] + h[e] <=> ac[c] + h[c],0.0,-63.43564186181,-0.0
ACtm,acetate transport mitochondrial,ac[c] <=> ac[m],0.0,-170.39626009331,182.98413674828998
ACtp,acetate transport peroxisomal,ac[c] <=> ac[x],0.0,0.0,-0.0
ADCL,4 aminobenzoate synthase,4adcho[c] --> 4abz[c] + h[c] + pyr[c],0.0,0.0,-0.0
ADCS,4 amino 4 deoxychorismate synthase,chor[c] + gln_L[c] --> 4adcho[c] + glu_L[c],0.0,0.0,-0.0
ADEt2,adenine transport in via proton symport,ade[e] + h[e] --> ade[c] + h[c],0.0,0.0,-0.0
ADEtm,adenine reversible transport mitochondria,ade[c] <=> ade[m],0.0,0.0,-0.0
ADHAPR_SC,acyldihydroxyacetonephosphate reductase yeast specific,0.01 1agly3p_SC[c] + h[c] + nadph[c] --> 0.01 1ag3p_SC[c] + nadp[c],0.0,0.0,98.08892019839
ADK1,adenylate kinase,amp[c] + atp[c] --> 2.0 adp[c],239.22988796713,0.0,655.25117065874
ADK1m,adenylate kinase mitochondrial,amp[m] + atp[m] <=> 2.0 adp[m],0.0,0.0,182.98413674831
ADK3,adentylate kinase GTP ,amp[c] + gtp[c] --> adp[c] + gdp[c],0.0,0.0,655.2511706588
ADK3m,adentylate kinase GTP ,amp[m] + gtp[m] <=> adp[m] + gdp[m],0.0,0.0,-0.0
ADK4,adentylate kinase ITP ,amp[c] + itp[c] --> adp[c] + idp[c],0.0,0.0,655.2511706588
ADK4m,adentylate kinase ITP mitochondrial,amp[m] + itp[m] <=> adp[m] + idp[m],0.0,0.0,-0.0
ADMDC,adenosylmethionine decarboxylase,amet[c] + h[c] --> ametam[c] + co2[c],0.0,0.0,-0.0
ADNCYC,adenylate cyclase,atp[c] --> camp[c] + ppi[c],0.0,0.0,263.67856710836
ADNK1,adenosine kinase,adn[c] + atp[c] --> adp[c] + amp[c] + h[c],9.92304860648,0.0,536.82341092587
ADNUC,adenosine hydrolase,adn[c] + h2o[c] --> ade[c] + rib_D[c],0.0,0.0,527.3571342162099
ADNt2,adenosine transport in via proton symport,adn[e] + h[e] --> adn[c] + h[c],0.0,0.0,-0.0
ADPT,adenine phosphoribosyltransferase,ade[c] + prpp[c] --> amp[c] + ppi[c],0.0,0.0,268.41170546268
CBPS,carbamoyl phosphate synthase glutamine hydrolysing ,2.0 atp[c] + gln_L[c] + h2o[c] + hco3[c] --> 2.0 adp[c] + cbp[c] + glu_L[c] + 2.0 h[c] + pi[c],4.38549440039,4.1836239191,109.65505076235002
